,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
33,0,18,11,0,1,1,0,0,1,1,17,103,103,1,1,0
34,0,14,11,0,1,1,0,1,1,1,8,58,58,1,0,0
35,0,13,5,0,1,1,0,0,1,1,3,17,17,1,0,0
36,0,20,13,0,0,1,0,1,1,1,13,78,78,1,0,0
37,0,16,12,0,1,0,0,0,1,0,30,218,218,1,1,0
38,1,9,11,0,1,1,0,0,1,1,6,75,75,1,0,1
39,1,9,5,0,1,1,0,1,1,1,27,179,179,1,1,0
40,0,19,20,0,1,0,0,0,1,1,21,125,125,1,1,0
41,1,20,16,0,1,1,0,1,1,1,13,72,72,1,0,0
42,0,14,13,0,0,0,0,0,0,1,4,361,361,0,0,0
43,1,21,16,0,1,1,0,0,1,1,4,38,38,1,1,1
44,0,17,18,0,0,1,0,1,1,1,18,89,89,1,1,0
45,0,23,9,0,1,1,0,0,1,1,3,22,22,1,0,0
46,0,9,14,0,0,1,0,1,1,1,23,183,183,1,1,0
47,0,20,12,0,1,0,0,0,1,1,30,229,229,1,1,0
48,0,21,0,0,0,0,0,0,1,1,56,324,324,1,1,0
49,0,13,0,0,0,0,0,0,0,1,57,330,330,1,1,0
50,1,21,9,0,1,1,0,0,1,1,4,62,62,1,1,0
51,0,24,0,0,0,0,0,0,1,1,10,46,46,1,0,0
52,1,13,12,0,0,0,0,1,1,1,6,40,40,1,0,0
53,0,24,0,0,0,0,0,0,1,0,70,330,330,1,1,0
54,0,17,12,0,1,0,0,1,1,1,19,123,123,1,0,0
55,1,20,16,0,1,1,0,0,1,1,7,50,50,1,0,0
56,1,24,10,0,1,1,0,1,1,1,18,109,109,1,0,0
57,0,23,16,0,0,1,0,0,1,1,24,131,131,1,1,0
58,1,20,18,0,1,1,0,0,1,1,11,83,83,1,0,0
59,0,17,9,0,1,0,0,1,1,1,23,173,173,1,0,0
60,1,24,14,0,0,0,0,0,1,1,10,69,69,1,0,0
61,1,20,9,0,1,1,0,1,1,1,5,34,34,1,0,0
62,1,24,9,0,1,0,0,0,1,1,11,78,78,1,0,0
63,0,14,0,0,0,0,0,0,1,1,236,886,886,1,1,0
64,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,0,54,0,0,0,0,0,0,1,1,16,98,98,1,1,0
66,0,29,0,0,0,0,0,0,1,1,7,35,35,1,0,0
67,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,0,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0
